4,-40,-12.2746787857791
4,-35,-11.484257422427
4,-30,-10.5549801352087
4,-25,-9.5008558240329
4,-20,-8.24589038057414
4,-15,-6.71046841334282
4,-10,-5.06868189381727
4,-5,-3.32280058724319
4,0,-1.14921837719645
4,5,1.1348230675268
4,10,3.07938564715929
4,15,4.90387627474492
4,20,6.62571989014775
4,25,8.08222522024006
4,30,9.3343405351511
4,35,10.4736690553656
4,40,11.4766509380358
5,-40,-12.3186246858795
5,-35,-11.465794818325
5,-30,-10.496339270628
5,-25,-9.41975476015695
5,-20,-8.13798682743856
5,-15,-6.57548711101125
5,-10,-4.93589786004882
5,-5,-3.19302063910219
5,0,-0.961155352075439
5,5,1.33767837307743
5,10,3.21631707546586
5,15,4.99828081182181
5,20,6.70854549368676
5,25,8.14085830264646
5,30,9.38545038338108
5,35,10.5634751846004
5,40,11.6495852529272
6,-40,-12.353640969528
6,-35,-11.4406001431773
6,-30,-10.4140290757239
6,-25,-9.30476663369553
6,-20,-7.98468245665834
6,-15,-6.37735757741735
6,-10,-4.7342341776218
6,-5,-2.98419112973919
6,0,-0.643490217435724
6,5,1.67132919785684
6,10,3.42589904089458
6,15,5.14035598148946
6,20,6.82224154125908
6,25,8.22039975703538
6,30,9.45696699119148
6,35,10.686028317181
6,40,11.878728228714
7,-40,-12.6946976769514
7,-35,-11.7433915947014
7,-30,-10.7143072198107
7,-25,-9.60937960399593
7,-20,-8.28746764223162
7,-15,-6.65400916398066
7,-10,-4.96675988694508
7,-5,-3.14644245649749
7,0,-0.542018305198416
7,5,2.00065900753271
7,10,3.77562964899026
7,15,5.53495951633174
7,20,7.26514284507576
7,25,8.66032617152406
7,30,9.86373996827497
7,35,11.0587406131343
7,40,12.2298229499841
8,-40,-13.0317710790907
8,-35,-12.073817592276
8,-30,-11.0501267954198
8,-25,-9.95723022575516
8,-20,-8.64517944779563
8,-15,-7.0044688593611
8,-10,-5.29092759765383
8,-5,-3.39956594559285
8,0,-0.374488051406278
8,5,2.51277900526186
8,10,4.26761414025673
8,15,6.03292775863556
8,20,7.76118243129413
8,25,9.11863832288484
8,30,10.272532350867
8,35,11.4238734011971
8,40,12.5714092261178
